타겟 페이지,수신 링크,링크된 사이트
https://sudanghelp.co.kr/blog/military-salary-2025/,39,1
https://sudanghelp.co.kr/unemployment/,16,2
https://sudanghelp.co.kr/coinmore/,15,2
https://sudanghelp.co.kr/electricity/,13,1
https://sudanghelp.co.kr/compoundcalc/regular-saving/,9,1
https://sudanghelp.co.kr/military/savings/,8,1
https://sudanghelp.co.kr/,4,3
https://sudanghelp.co.kr/unemployment/guide/,4,1
https://sudanghelp.co.kr/travel/exchange-calculator/,3,2
https://sudanghelp.co.kr/familycare/,2,1
https://sudanghelp.co.kr/military/score/,2,1
https://sudanghelp.co.kr/additionaltax/batch-vat-calc/,1,1
https://sudanghelp.co.kr/additionaltax/supply-calc/,1,1
https://sudanghelp.co.kr/blog/additionaltax/vat-3/,1,1
https://sudanghelp.co.kr/blog/policy-mortgage-2025/,1,1
https://sudanghelp.co.kr/creditcalc/emergency-loan/,1,1
https://sudanghelp.co.kr/military/salary/,1,1
https://sudanghelp.co.kr/parents/,1,1